ID,Capture method,Name,State,Site,Latitude,Longitude,Date,,,,,,,,
DM46,Pole syringe,Eastern Collared Pig 59,NSW,Tom Williamson ,-29.871144,152.040952,8/09/2022,,,,,,,,
DM39,Pole syringe,Eastern Collared Pig 70,NSW,Not sure,-29.871074,152.040774,31/08/2022,,,,,,,,
AB64,Manual,,NSW,napnap,-34.499612,144.21579,17/03/2021,,,,,,,,
AB76,Manual,,NSW,nimmie,-34.5159647,144.034904,17/03/2021,,,,,,,,
AB49,Manual,,NSW,nimmie,-34.515762,144.024655,17/03/2021,,,,,,,,
AB69,Manual,,NSW,nimmie,-34.512887,144.024403,16/03/2021,,,,,,,,
AB72,Manual,,NSW,nimmie,-34.516581,144.034895,16/03/2021,,,,,,,,
AB16,Manual,,NSW,napnap,-34.496248,144.204335,16/03/2021,,,,,,,,
DM35,Pole syringe,Eastern Collared Pig 52,NSW,Kingsgate Station,-29.790973,152.025032,4/03/2022,,,,,,,,
DM31,Pole syringe,Eastern Collared Pig 48,NSW,"KINGSGATE STATION
",-29.80654,152.063656,23/02/2022,,,,,,,,
DM40,Pole syringe,Eastern Collared Pig 72,NSW,Newberries,-29.870956,152.040812,1/09/2022,,,,,,,,
DM30,Pole syringe,Eastern Collared Pig 46,NSW,Kingsgate Station,-29.755633,151.980097,23/02/2022,,,,,,,,
DM34,Pole syringe,Eastern Collared Pig 51,NSW,Kingsgate Station ,-29.790899,152.027092,4/03/2022,,,,,,,,
AB15,Manual,,NSW,willowtree,-31.786464,150.520252,30/11/2022,,,,,,,,
AB10,Manual,,NSW,willowtree,-31.822863,150.503893,30/11/2022,,,,,,,,
AB70,Manual,,NSW,booligal,-33.813667,144.738014,20/10/2021,,,,,,,,
DM43,Pole syringe,Eastern Collared Pig 56,NSW,Guy fawkes,-29.923543,152.113932,6/09/2022,,,,,,,,
AB37,Manual,,NSW,napnap,-34.44902,144.156856,19/03/2021,,,,,,,,
AB02,Manual,,NSW,willowtree,-31.822863,150.503893,1/12/2022,,,,,,,,
AB27,Manual,,NSW,nimmie,-34.516001,144.034982,19/03/2021,,,,,,,,
AB62,Manual,,NSW,nimmie,-34.515762,144.024655,17/03/2021,,,,,,,,
AB71,Manual,,NSW,nimmie,-34.512887,144.024403,16/03/2021,,,,,,,,
AB43,Manual,,NSW,nimmie,-34.515762,144.024655,17/03/2021,,,,,,,,
DM89,Pole syringe,Western Collared Pig 1,NSW,Len Roy ,-29.512525,144.282246,16/09/2020,,,,,,,,
DM91,Pole syringe,Western Collared Pig 3,NSW,Moreland Downs ,-29.452433,144.340465,17/09/2020,,,,,,,,
AB73,Manual,,NSW,booligal,-33.813679,144.810974,19/10/2021,,,,,,,,
DM101,Pole syringe,Western Collared Pig 14,NSW,Nocheleche,-29.97673,144.131056,11/11/2020,,,,,,,,
AB51,Manual,,NSW,booligal,-33.81369,144.810992,21/10/2021,,,,,,,,
DM121,Pole syringe,Western Collared Pig 34,NSW,Mount Jack,-30.826867,143.742165,18/05/2021,,,,,,,,
AB01,Manual,,NSW,Yantabulla,-29.257851,144.977894,20/09/2023,,,,,,,,
AB04,Manual,,NSW,willowtree,-31.822863,150.503893,2/12/2022,,,,,,,,
AB06,Manual,,NSW,Yantabulla,-29.256285,144.973616,21/09/2023,,,,,,,,
AB07,Manual,,NSW,Yantabulla,-29.254101,144.971346,21/09/2023,,,,,,,,
AB08,Manual,,NSW,Yantabulla,-29.257809,144.977931,21/09/2023,,,,,,,,
AB09,Manual,,NSW,Yantabulla,-29.257883,144.977942,19/09/2023,,,,,,,,
AB11,Manual,,NSW,willowtree,-31.822863,150.503893,1/12/2022,,,,,,,,
AB12,Manual,,NSW,willowtree,-31.822863,150.503893,30/11/2022,,,,,,,,
AB13,Manual,,NSW,Yantabulla,-29.29163,144.962412,20/09/2023,,,,,,,,
AB14,Manual,,NSW,Yantabulla,-29.296027,144.979284,21/09/2023,,,,,,,,
AB18,Manual,,NSW,Yantabulla,-29.55402,144.971334,19/09/2023,,,,,,,,
AB19,Manual,,NSW,booligal,-33.813667,144.738014,20/10/2021,,,,,,,,
AB21,Manual,,NSW,Yantabulla,-29.303716,144.950247,19/09/2023,,,,,,,,
AB22,Manual,,NSW,booligal,-33.813679,144.810974,19/10/2021,,,,,,,,
AB24,Manual,,NSW,Yantabulla,-29.252558,144.981828,19/09/2023,,,,,,,,
AB25,Manual,,NSW,Yantabulla,-29.256353,144.973638,21/09/2023,,,,,,,,
AB26,Manual,,NSW,Yantabulla,-29.256353,144.973638,20/09/2023,,,,,,,,
AB28,Manual,,NSW,willowtree,-31.800267,150.51079,19/12/2022,,,,,,,,
AB29,Manual,,NSW,Yantabulla,-29.257809,144.977931,21/09/2023,,,,,,,,
AB30,Manual,,NSW,Yantabulla,-29.291613,144.962408,21/09/2023,,,,,,,,
AB34,Manual,,NSW,Yantabulla,-29.25641,144.973758,19/09/2023,,,,,,,,
AB38,Manual,,NSW,willowtree,-31.822863,150.503893,30/11/2022,,,,,,,,
AB39,Manual,,NSW,marimley,-34.431,143.7,18/03/2021,,,,,,,,
AB40,Manual,,NSW,Yantabulla,-29.25402,144.971334,19/09/2023,,,,,,,,
AB41,Manual,,NSW,Yantabulla,-29.257851,144.977894,20/09/2023,,,,,,,,
AB42,Manual,,NSW,Yantabulla,-29.308051,144.961183,20/09/2023,,,,,,,,
AB45,Manual,,NSW,Yantabulla,-29.328107,144.9735,20/09/2023,,,,,,,,
AB46,Manual,,NSW,Yantabulla,-29.25402,144.971334,19/09/2023,,,,,,,,
AB47,Manual,,NSW,Yantabulla,-29.295979,144.979313,19/09/2023,,,,,,,,
AB48,Manual,,NSW,nimmie,-34.516309,144.024584,16/03/2021,,,,,,,,
AB50,Manual,,NSW,Yantabulla,-29.296014,144.9792,20/09/2023,,,,,,,,
AB53,Manual,,NSW,Yantabulla,-29.29164,144.975308,20/09/2023,,,,,,,,
AB54,Manual,,NSW,booligal,-33.813679,144.810974,19/10/2021,,,,,,,,
AB55,Manual,,NSW,Yantabulla,-29.329164,144.975308,20/09/2023,,,,,,,,
AB56,Manual,,NSW,Yantabulla,-29.296014,144.9792,20/09/2023,,,,,,,,
AB58,Manual,,NSW,Yantabulla,-29.295979,144.979313,19/09/2023,,,,,,,,
AB59,Manual,,NSW,booligal,-33.812991,144.742944,21/10/2021,,,,,,,,
AB63,Manual,,NSW,willowtree,-31.800267,150.51079,19/12/2022,,,,,,,,
AB67,Manual,,NSW,booligal,-33.813667,144.738014,20/10/2021,,,,,,,,
AB77,Manual,,NSW,Yantabulla,-29.296027,144.979284,21/09/2023,,,,,,,,
DM28,Pole syringe,Eastern Collared Pig 45,NSW,Old farm ,-29.960884,152.065458,22/02/2022,,,,,,,,
DM99,Pole syringe,Western Collared Pig 11,NSW,"Tongo
",-30.541562,143.701087,17/09/2020,,,,,,,,
SC01,Manual,Bingara Collared Pig 1,NSW,Bingara,-29.749766,150.485982,12/02/2025,,,,,,,,
SC02,Manual,Bingara Collared Pig 2,NSW,Bingara,-29.749766,150.485982,12/02/2025,,,,,,,,
SC03,Manual,Bingara Collared Pig 3,NSW,Bingara,-29.749766,150.485982,12/02/2025,,,,,,,,
SC04,Manual,Bingara Collared Pig 4,NSW,Bingara,-29.749766,150.485982,12/02/2025,,,,,,,,
SC05,Manual,Bingara Collared Pig 5,NSW,Bingara,-29.751488,150.486046,12/02/2025,,,,,,,,
SC06,Manual,Bingara Collared Pig 6,NSW,Bingara,-29.749701,150.488725,11/02/2025,,,,,,,,
SC07,Manual,Bingara Collared Pig 7,NSW,Bingara,-29.749701,150.488725,11/02/2025,,,,,,,,
SC08,Manual,Bingara Collared Pig 8,NSW,Bingara,-29.757562,150.480041,13/02/2025,,,,,,,,
